06-Aug-2014 15:36:20
D:\Secondlife-32\Matlab\BeadSynthesizerV3.0\Scripts\SynthesisLog_20140806-01.txt
BEAD PRODUCTION LOG
Chip serial code: BS3.0-PMF-07.30.14-ch01
Mixer cleaning time = 6.00 sec
Mixing time = 1.00 min 45.00 sec
Drop stabilization time = 30.00 sec
UV polymerization time = 2.00 min 30.00 sec
Polymerization channel = Polymerization
Resistances Mixer 1 = [Sm, Dy, Tm, CeTb, Eu, mix] [14.78  14.74  15.91  14.76  14.00   0.74]
Resistances Mix2r 2 = [Sm, Dy, Tm, CeTb, Eu, mix] [14.97  14.74  15.90  14.00  14.00   0.29]
Oil: ch = 3, press = 9.00 psi
Push Water: ch = 2, press = 5.50 psi
Lanthanide MFCS Channels: [Sm, Dy, Tm, CeTb, Eu]  [6,  7,  4,  1,  5,]
Lanthanide Valves: [Sm, Dy, Tm, CeTb, Eu]  [C2,  C3,  C4,  C6,  C1]
Mixer 1
Code#	Flow_Sm	Flow_Dy	Flow_Tm	Flow_CeTb	Flow_Eu	P_Sm	P_Dy	P_Tm	P_CeTb	P_Eu
Code#	Flow_Sm	Flow_Dy	Flow_Tm	Flow_CeTb	Flow_Eu	P_Sm	P_Dy	P_Tm	P_CeTb	P_Eu
1	0.00	0.00	0.00	0.00	1.00	0.29	 0.29	 0.29	 0.29	14.29
2	0.00	0.00	0.05	0.00	0.95	0.29	 0.29	 1.06	 0.29	13.60
3	0.00	0.00	0.15	0.00	0.85	0.29	 0.29	 2.65	 0.29	12.20
4	0.00	0.00	0.35	0.00	0.65	0.29	0.29	5.91	0.29	9.34
5	0.00	0.00	0.77	0.00	0.23	0.29	 0.29	12.57	 0.29	 3.46
6	0.00	0.00	0.00	0.74	0.26	0.29	 0.29	 0.29	10.66	 3.92
7	0.00	0.00	0.05	0.74	0.21	0.29	 0.29	 1.06	10.66	 3.23
8	0.00	0.00	0.15	0.74	0.11	0.29	 0.29	 2.65	10.66	 1.83
9	0.04	0.00	0.00	0.00	0.96	0.93	 0.29	 0.29	 0.29	13.69
10	0.04	0.00	0.05	0.00	0.91	0.93	 0.29	 1.06	 0.29	13.00
11	0.04	0.00	0.15	0.00	0.81	0.93	 0.29	 2.65	 0.29	11.60
12	0.04	0.00	0.35	0.00	0.60	0.93	0.29	5.91	0.29	8.74
13	0.04	0.00	0.77	0.00	0.18	0.93	 0.29	12.57	 0.29	 2.86
14	0.04	0.00	0.00	0.74	0.22	0.93	 0.29	 0.29	10.66	 3.32
15	0.04	0.00	0.05	0.74	0.17	0.93	 0.29	 1.06	10.66	 2.63
16	0.04	0.00	0.15	0.74	0.07	0.93	 0.29	 2.65	10.66	 1.23
17	0.11	0.00	0.00	0.00	0.89	1.92	 0.29	 0.29	 0.29	12.76
18	0.11	0.00	0.05	0.00	0.84	1.92	 0.29	 1.06	 0.29	12.07
19	0.11	0.00	0.15	0.00	0.74	1.92	 0.29	 2.65	 0.29	10.67
20	0.11	0.00	0.35	0.00	0.54	1.92	0.29	5.91	0.29	7.81
21	0.11	0.00	0.77	0.00	0.12	1.92	 0.29	12.57	 0.29	 1.93
22	0.11	0.00	0.00	0.74	0.15	1.92	 0.29	 0.29	10.66	 2.38
23	0.11	0.00	0.05	0.74	0.10	1.92	 0.29	 1.06	10.66	 1.70
24	0.11	0.00	0.15	0.74	0.00	1.92	 0.29	 2.65	10.66	 0.30
25	0.21	0.00	0.00	0.00	0.79	3.46	 0.29	 0.29	 0.29	11.31
26	0.21	0.00	0.05	0.00	0.74	3.46	 0.29	 1.06	 0.29	10.63
27	0.21	0.00	0.15	0.00	0.64	3.46	0.29	2.65	0.29	9.23
28	0.21	0.00	0.35	0.00	0.43	3.46	0.29	5.91	0.29	6.36
29	0.21	0.00	0.77	0.00	0.01	3.46	 0.29	12.57	 0.29	 0.49
30	0.21	0.00	0.00	0.74	0.05	3.46	 0.29	 0.29	10.66	 0.94
31	0.37	0.00	0.00	0.00	0.63	5.86	0.29	0.29	0.29	9.07
32	0.37	0.00	0.05	0.00	0.58	5.86	0.29	1.06	0.29	8.39
33	0.37	0.00	0.15	0.00	0.48	5.86	0.29	2.65	0.29	6.99
34	0.37	0.00	0.35	0.00	0.27	5.86	0.29	5.91	0.29	4.12
35	0.62	0.00	0.00	0.00	0.38	9.57	0.29	0.29	0.29	5.60
36	0.62	0.00	0.05	0.00	0.33	9.57	0.29	1.06	0.29	4.92
37	0.62	0.00	0.15	0.00	0.23	9.57	0.29	2.65	0.29	3.52
38	0.62	0.00	0.35	0.00	0.03	9.57	0.29	5.91	0.29	0.65
39	0.00	0.04	0.00	0.00	0.96	0.29	 0.86	 0.29	 0.29	13.74
40	0.00	0.04	0.11	0.00	0.85	0.29	 0.86	 1.99	 0.29	12.24
41	0.00	0.04	0.33	0.00	0.63	0.29	0.86	5.47	0.29	9.17
42	0.00	0.04	0.78	0.00	0.19	0.29	 0.86	12.61	 0.29	 2.88
43	0.00	0.04	0.00	0.74	0.22	0.29	 0.86	 0.29	10.66	 3.37
44	0.00	0.04	0.11	0.74	0.11	0.29	 0.86	 1.99	10.66	 1.87
45	0.04	0.04	0.00	0.00	0.92	0.93	 0.86	 0.29	 0.29	13.14
46	0.04	0.04	0.11	0.00	0.81	0.93	 0.86	 1.99	 0.29	11.64
47	0.04	0.04	0.33	0.00	0.59	0.93	0.86	5.47	0.29	8.57
48	0.04	0.04	0.78	0.00	0.14	0.93	 0.86	12.61	 0.29	 2.28
49	0.04	0.04	0.00	0.74	0.18	0.93	 0.86	 0.29	10.66	 2.77
50	0.04	0.04	0.11	0.74	0.07	0.93	 0.86	 1.99	10.66	 1.27
51	0.11	0.04	0.00	0.00	0.85	1.92	 0.86	 0.29	 0.29	12.21
52	0.11	0.04	0.11	0.00	0.74	1.92	 0.86	 1.99	 0.29	10.71
53	0.11	0.04	0.33	0.00	0.53	1.92	0.86	5.47	0.29	7.64
54	0.11	0.04	0.78	0.00	0.08	1.92	 0.86	12.61	 0.29	 1.35
55	0.11	0.04	0.00	0.74	0.11	1.92	 0.86	 0.29	10.66	 1.84
56	0.11	0.04	0.11	0.74	0.00	1.92	 0.86	 1.99	10.66	 0.34
57	0.21	0.04	0.00	0.00	0.75	3.46	 0.86	 0.29	 0.29	10.76
58	0.21	0.04	0.11	0.00	0.64	3.46	0.86	1.99	0.29	9.27
59	0.21	0.04	0.33	0.00	0.42	3.46	0.86	5.47	0.29	6.20
60	0.21	0.04	0.00	0.74	0.01	3.46	 0.86	 0.29	10.66	 0.39
61	0.37	0.04	0.00	0.00	0.59	5.86	0.86	0.29	0.29	8.53
62	0.37	0.04	0.11	0.00	0.48	5.86	0.86	1.99	0.29	7.03
63	0.37	0.04	0.33	0.00	0.26	5.86	0.86	5.47	0.29	3.96
64	0.62	0.04	0.00	0.00	0.34	9.57	0.86	0.29	0.29	5.05
65	0.62	0.04	0.11	0.00	0.23	9.57	0.86	1.99	0.29	3.55
66	0.62	0.04	0.33	0.00	0.01	9.57	0.86	5.47	0.29	0.49
67	0.00	0.11	0.00	0.00	0.89	0.29	 1.85	 0.29	 0.29	12.80
68	0.00	0.11	0.21	0.00	0.69	0.29	1.85	3.58	0.29	9.90
69	0.00	0.11	0.63	0.00	0.26	0.29	 1.85	10.32	 0.29	 3.96
70	0.00	0.11	0.00	0.74	0.15	0.29	 1.85	 0.29	10.66	 2.43
71	0.04	0.11	0.00	0.00	0.85	0.93	 1.85	 0.29	 0.29	12.20
72	0.04	0.11	0.21	0.00	0.64	0.93	1.85	3.58	0.29	9.30
73	0.04	0.11	0.63	0.00	0.22	0.93	 1.85	10.32	 0.29	 3.36
74	0.04	0.11	0.00	0.74	0.11	0.93	 1.85	 0.29	10.66	 1.83
75	0.11	0.11	0.00	0.00	0.78	1.92	 1.85	 0.29	 0.29	11.27
76	0.11	0.11	0.21	0.00	0.58	1.92	1.85	3.58	0.29	8.37
77	0.11	0.11	0.63	0.00	0.15	1.92	 1.85	10.32	 0.29	 2.43
78	0.11	0.11	0.00	0.74	0.04	1.92	 1.85	 0.29	10.66	 0.90
79	0.21	0.11	0.00	0.00	0.68	3.46	1.85	0.29	0.29	9.82
80	0.21	0.11	0.21	0.00	0.47	3.46	1.85	3.58	0.29	6.93
81	0.21	0.11	0.63	0.00	0.05	3.46	 1.85	10.32	 0.29	 0.99
82	0.37	0.11	0.00	0.00	0.52	5.86	1.85	0.29	0.29	7.58
83	0.37	0.11	0.21	0.00	0.31	5.86	1.85	3.58	0.29	4.69
84	0.62	0.11	0.00	0.00	0.27	9.57	1.85	0.29	0.29	4.11
85	0.62	0.11	0.21	0.00	0.07	9.57	1.85	3.58	0.29	1.21
86	0.00	0.22	0.00	0.00	0.78	0.29	 3.55	 0.29	 0.29	11.18
87	0.00	0.22	0.38	0.00	0.40	0.29	3.55	6.31	0.29	5.88
88	0.00	0.22	0.00	0.74	0.04	0.29	 3.55	 0.29	10.66	 0.81
89	0.04	0.22	0.00	0.00	0.74	0.93	 3.55	 0.29	 0.29	10.58
90	0.04	0.22	0.38	0.00	0.36	0.93	3.55	6.31	0.29	5.28
91	0.11	0.22	0.00	0.00	0.67	1.92	3.55	0.29	0.29	9.65
92	0.11	0.22	0.38	0.00	0.29	1.92	3.55	6.31	0.29	4.35
93	0.21	0.22	0.00	0.00	0.57	3.46	3.55	0.29	0.29	8.21
94	0.21	0.22	0.38	0.00	0.19	3.46	3.55	6.31	0.29	2.91
95	0.37	0.22	0.00	0.00	0.41	5.86	3.55	0.29	0.29	5.97
96	0.37	0.22	0.38	0.00	0.03	5.86	3.55	6.31	0.29	0.67
97	0.62	0.22	0.00	0.00	0.16	9.57	3.55	0.29	0.29	2.50
98	0.00	0.42	0.00	0.00	0.58	0.29	6.48	0.29	0.29	8.41
99	0.04	0.42	0.00	0.00	0.54	0.93	6.48	0.29	0.29	7.81
100	0.11	0.42	0.00	0.00	0.47	1.92	6.48	0.29	0.29	6.88
101	0.21	0.42	0.00	0.00	0.37	3.46	6.48	0.29	0.29	5.43
102	0.37	0.42	0.00	0.00	0.21	5.86	6.48	0.29	0.29	3.19
103	0.00	0.76	0.00	0.00	0.24	0.29	11.49	 0.29	 0.29	 3.64
104	0.04	0.76	0.00	0.00	0.20	0.93	11.49	 0.29	 0.29	 3.04
105	0.11	0.76	0.00	0.00	0.13	1.92	11.49	 0.29	 0.29	 2.11
106	0.21	0.76	0.00	0.00	0.03	3.46	11.49	 0.29	 0.29	 0.67
06-Aug-2014 15:36:46 Setting valves: 8 to 1
06-Aug-2014 15:36:46 Setting valves: 9 to 1
06-Aug-2014 15:36:46 Setting valves: 10 to 1
06-Aug-2014 15:36:46 Setting valves: 11 to 1
06-Aug-2014 15:36:46 Setting valves: 12 to 1
06-Aug-2014 15:36:46 Setting valves: 13 to 1
06-Aug-2014 15:36:46 Setting valves: 15 to 1
06-Aug-2014 15:36:46 Setting valves: 16 to 1
06-Aug-2014 15:36:46 Setting valves: 17 to 1
06-Aug-2014 15:36:46 Setting valves: 18 to 1
06-Aug-2014 15:36:46 Setting valves: 19 to 1
06-Aug-2014 15:36:46 Setting valves: 20 to 1
06-Aug-2014 15:36:46 Setting valves: 22 to 1
06-Aug-2014 15:36:46 Setting valves: 23 to 1
06-Aug-2014 15:36:46 Setting valves: 24 to 1
06-Aug-2014 15:36:46 Setting valves: 25 to 1
06-Aug-2014 15:36:46 Setting valves: 26 to 1
06-Aug-2014 15:36:46 Setting valves: 27 to 1
06-Aug-2014 15:36:46 Setting valves: 28 to 1
06-Aug-2014 15:36:46 Setting valves: 29 to 1
06-Aug-2014 15:36:46 Setting valves: 30 to 1
06-Aug-2014 15:36:47 Setting valves: 31 to 1
06-Aug-2014 15:36:47 Setting valves: 32 to 1
06-Aug-2014 15:36:47 Setting valves: 33 to 1
06-Aug-2014 15:36:47 Setting valves: 34 to 1
06-Aug-2014 15:36:47 Setting valves: 34 to 0
06-Aug-2014 15:36:47 Setting valves: 9 to 0
06-Aug-2014 15:36:47 Setting valves: 12  18 to 0  0
06-Aug-2014 15:36:47 Setting valves: 24 to 0
06-Aug-2014 15:36:47 Setting valves: 31 to 0
06-Aug-2014 15:36:55 Setting valves: 24 to 1
06-Aug-2014 15:36:55 Setting valves: 19 to 0
06-Aug-2014 15:38:41 Setting valves: 20  22  23  26  19 to 1  1  1  1  1
06-Aug-2014 15:38:42 Setting valves: 12  18 to 1  1
06-Aug-2014 15:38:42 Setting valves: 16 to 0
06-Aug-2014 15:38:42 Setting valves: 13 to 0
06-Aug-2014 15:38:58 Setting valves: 11 to 0
% Making Code # 1 = [0.00  0.00  0.00  0.00]
06-Aug-2014 15:42:02 Setting valves: 11 to 1
06-Aug-2014 15:42:03 Setting valves: 11 to 1
06-Aug-2014 15:42:03 Setting valves: 13 to 1
06-Aug-2014 15:42:03 Setting valves: 12  18 to 0  0
06-Aug-2014 15:42:04 Setting valves: 24 to 0
06-Aug-2014 15:42:04 Setting valves: 31 to 0
06-Aug-2014 15:42:11 Setting valves: 24 to 1
06-Aug-2014 15:42:12 Setting valves: 23 to 0
06-Aug-2014 15:42:12 Setting valves: 19 to 0
06-Aug-2014 15:43:58 Setting valves: 20  22  23  26  19 to 1  1  1  1  1
06-Aug-2014 15:43:58 Setting valves: 12  18 to 1  1
06-Aug-2014 15:43:58 Setting valves: 16 to 0
06-Aug-2014 15:43:59 Setting valves: 13 to 0
06-Aug-2014 15:44:15 Setting valves: 11 to 0
% Making Code # 2 = [0.00  0.00  0.05  0.00]
06-Aug-2014 15:47:19 Setting valves: 11 to 1
06-Aug-2014 15:47:19 Setting valves: 11 to 1
06-Aug-2014 15:47:19 Setting valves: 13 to 1
06-Aug-2014 15:47:20 Setting valves: 12  18 to 0  0
06-Aug-2014 15:47:20 Setting valves: 24 to 0
06-Aug-2014 15:47:20 Setting valves: 31 to 0
06-Aug-2014 15:47:28 Setting valves: 24 to 1
06-Aug-2014 15:47:28 Setting valves: 23 to 0
06-Aug-2014 15:47:28 Setting valves: 19 to 0
06-Aug-2014 15:49:13 Setting valves: 20  22  23  26  19 to 1  1  1  1  1
06-Aug-2014 15:49:14 Setting valves: 12  18 to 1  1
06-Aug-2014 15:49:14 Setting valves: 16 to 0
06-Aug-2014 15:49:14 Setting valves: 13 to 0
06-Aug-2014 15:49:31 Setting valves: 11 to 0
% Making Code # 3 = [0.00  0.00  0.15  0.00]
06-Aug-2014 15:52:34 Setting valves: 11 to 1
06-Aug-2014 15:52:35 Setting valves: 11 to 1
06-Aug-2014 15:52:35 Setting valves: 13 to 1
06-Aug-2014 15:52:35 Setting valves: 12  18 to 0  0
06-Aug-2014 15:52:36 Setting valves: 24 to 0
06-Aug-2014 15:52:36 Setting valves: 31 to 0
06-Aug-2014 15:52:43 Setting valves: 24 to 1
06-Aug-2014 15:52:44 Setting valves: 23 to 0
06-Aug-2014 15:52:44 Setting valves: 19 to 0
06-Aug-2014 15:54:30 Setting valves: 20  22  23  26  19 to 1  1  1  1  1
06-Aug-2014 15:54:30 Setting valves: 12  18 to 1  1
06-Aug-2014 15:54:31 Setting valves: 16 to 0
06-Aug-2014 15:54:31 Setting valves: 13 to 0
06-Aug-2014 15:54:47 Setting valves: 11 to 0
% Making Code # 4 = [0.00  0.00  0.35  0.00]
06-Aug-2014 15:57:51 Setting valves: 11 to 1
06-Aug-2014 15:57:51 Setting valves: 11 to 1
06-Aug-2014 15:57:51 Setting valves: 13 to 1
06-Aug-2014 15:57:52 Setting valves: 12  18 to 0  0
06-Aug-2014 15:57:52 Setting valves: 24 to 0
06-Aug-2014 15:57:52 Setting valves: 31 to 0
06-Aug-2014 15:58:00 Setting valves: 24 to 1
06-Aug-2014 15:58:00 Setting valves: 23 to 0
06-Aug-2014 15:58:00 Setting valves: 19 to 0
06-Aug-2014 15:59:46 Setting valves: 20  22  23  26  19 to 1  1  1  1  1
06-Aug-2014 15:59:47 Setting valves: 12  18 to 1  1
06-Aug-2014 15:59:47 Setting valves: 16 to 0
06-Aug-2014 15:59:47 Setting valves: 13 to 0
06-Aug-2014 16:00:03 Setting valves: 11 to 0
% Making Code # 5 = [0.00  0.00  0.77  0.00]
06-Aug-2014 16:03:07 Setting valves: 11 to 1
06-Aug-2014 16:03:08 Setting valves: 11 to 1
06-Aug-2014 16:03:08 Setting valves: 13 to 1
06-Aug-2014 16:03:08 Setting valves: 12  18 to 0  0
06-Aug-2014 16:03:09 Setting valves: 24 to 0
06-Aug-2014 16:03:09 Setting valves: 31 to 0
06-Aug-2014 16:03:16 Setting valves: 24 to 1
06-Aug-2014 16:03:17 Setting valves: 26 to 0
06-Aug-2014 16:03:17 Setting valves: 19 to 0
06-Aug-2014 16:05:03 Setting valves: 20  22  23  26  19 to 1  1  1  1  1
06-Aug-2014 16:05:03 Setting valves: 12  18 to 1  1
06-Aug-2014 16:05:03 Setting valves: 16 to 0
06-Aug-2014 16:05:04 Setting valves: 13 to 0
06-Aug-2014 16:05:20 Setting valves: 11 to 0
% Making Code # 6 = [0.00  0.00  0.00  0.74]
06-Aug-2014 16:08:24 Setting valves: 11 to 1
06-Aug-2014 16:08:24 Setting valves: 11 to 1
06-Aug-2014 16:08:25 Setting valves: 13 to 1
06-Aug-2014 16:08:25 Setting valves: 12  18 to 0  0
06-Aug-2014 16:08:25 Setting valves: 24 to 0
06-Aug-2014 16:08:26 Setting valves: 31 to 0
06-Aug-2014 16:08:33 Setting valves: 24 to 1
